SampleName,cAngles_ch1_1,cAngles_ch1_2,cAngles_ch2_1,cAngles_ch2_2,R_ch1,R_ch2,R_int,C_ch1_x,C_ch1_y,C_ch2_x,C_ch2_y,C_Int_x,C_Int_y,intT_A_AB,intT_B_AB,avg_ch1,avg_ch2,theta,cos_theta2
1,117.102045194311,117.042591022934,106.665207676062,106.724661847439,50.7332465467033,63.2732381305446,143.894491183778,115.221142339665,135.29445473969,124.678235912605,178.324754820941,87.6142389267704,9.31019189360043,1.38471245197689,1.28725383423407,117.072318108622,106.69493476175,136.232747129628,0.372722617155444
1,121.295994488935,121.348235327361,98.1692148453763,98.1169740069502,25.8576371937057,63.2732381305446,25.653538252942,112.977783940235,223.147200764448,124.678235912605,178.324754820941,106.626904965197,247.572057553293,1.5574299963203,1.34399841111555,121.322114908148,98.1430944261632,140.534790665688,0.33763095590598
2,108.451340582594,108.529318330158,99.4704723656584,99.3924946180954,64.6919535207533,73.8232909127748,194.93310165413,224.118464930003,141.570200890168,189.95128346038,136.287672238287,406.850463448071,169.679798734173,2.10666964453786,2.02529484891785,108.490329456376,99.4314834918769,152.078187051747,0.241259796140277
2,117.032177755864,117.096890302954,100.334680544123,100.269967997033,50.7243162873645,73.8232909127748,82.74103210734,158.028927006617,168.715752957432,189.95128346038,136.287672238287,105.567166589961,222.092177197652,1.62110971127439,1.46724470523939,117.064534029409,100.302324270578,142.633141700013,0.320339028914696
3,106.383715451065,106.382202324251,136.423720239246,136.42523336606,38.3610066605092,82.4069260628592,140.588891824717,136.655067170065,147.419818654593,163.151845035918,215.765640513792,87.8993152906365,21.6538332804276,0.774962288804269,1.07861060331937,106.382958887658,136.424476802653,117.192564309689,0.521065016493263
3,118.372747876007,118.414323490532,111.435857887375,111.39428227285,45.0148950365685,82.4069260628592,76.3231129958259,143.05672117905,275.978415911563,163.151845035918,215.765640513792,121.650336142285,340.228094150519,1.21870452143904,1.15160404251084,118.393535683269,111.415070080113,130.191394236618,0.421103930689288
4,126.294926830471,126.834913722545,112.791161804798,112.251174912724,51.3854207982417,99.4034578758119,86.3641916747636,303.240959384064,294.067016652731,322.30751094346,210.942865994039,288.169135031267,362.044113480082,1.07669286464922,0.936175241403475,126.564920276508,112.521168358761,120.913911364731,0.493077288910457
7,105.825170901904,105.775334426947,116.824232448159,116.874068923116,50.1137104810886,32.2530411132165,56.3566181232639,154.93812661697,110.121932802577,120.847639778788,113.561797940512,70.3928389487828,118.622988815014,1.31687821222144,1.42022434859646,105.800252664426,116.849150685638,137.350596649937,0.363652872604214
7,124.911493063363,124.950084273252,106.425536225053,106.386945015164,50.1137104810886,52.3458862918435,224.382058642888,154.93812661697,110.121932802577,199.271465637394,113.010948828418,-44.5889199172273,97.1969737202984,1.22853617209958,1.04995935458196,124.930788668307,106.406240620108,128.662970711584,0.433163856474838
8,109.583421478815,109.4222456974,109.666660698149,109.827836479563,76.8784438697094,111.30793629285,167.627728388045,345.620183478084,210.556085620343,283.258003153913,244.577988462453,485.684298230678,134.445199765116,1.48756545367349,1.48982991623122,109.502833588107,109.747248588856,140.749917823037,0.335863263383817
8,132.158656786738,132.215212277228,99.6536948758643,99.7102503663543,70.3635061752621,111.30793629285,73.0676172454325,275.237330186772,308.342913680716,283.258003153913,244.577988462453,268.05631942573,366.083456209078,1.25318632219383,0.941975208233954,132.186934531983,99.6819726211093,128.131092846908,0.437342638957044
8,136.093212298616,136.148227464429,97.2186622052277,97.1636470394151,71.3555299645373,111.30793629285,104.490318018905,208.726158141722,195.227078962008,283.258003153913,244.577988462453,148.230273579334,155.252265618807,1.23722992459594,0.864374180877948,136.120719881523,97.1911546223214,126.688125496156,0.448631827454363
9,129.333526576602,129.363273474476,94.9512422525802,94.9214953547062,33.9196075853916,45.7854162600248,55.942084088868,94.4426403051698,87.4569350195768,125.185513320978,96.2982145602624,52.8397007237092,75.5114256120266,1.42689085774853,1.10752964424973,129.348400025539,94.9363688036432,135.715231170818,0.376909557455095
9,139.541789114274,139.567866980331,109.852275689409,109.878353555466,25.2682828229121,45.7854162600248,21.493036303777,143.830321609742,115.716748325888,125.185513320978,96.2982145602624,155.316225839479,127.627530148952,1.00460469903865,0.692941420762429,139.554828047303,109.865314622438,110.57985733026,0.569424029432394
10,94.1575369208237,93.9696673067352,120.575632287956,120.387762673868,87.5196814459159,63.3817977170214,75.5306586421077,208.588577564764,233.710387583931,190.443361743981,196.134424378433,159.933933921535,133.41196324203,1.51975952523257,1.75905575989658,94.0636021137795,120.481697480912,145.454700405308,0.296919084108719
10,104.201330365588,104.141017613644,145.181235208311,145.120922456367,39.2339158924677,102.860079604572,127.63072642516,261.49767433687,360.490346562807,269.266653840806,283.251336119907,247.314763618936,502.193047877998,0.610758808134978,1.0363275761364,104.171173989616,145.151078832339,110.677747178045,0.568721590636126
10,120.066656570499,120.113086488325,107.691572779364,107.645142861538,87.5196814459159,102.860079604572,299.10484201295,208.588577564764,233.710387583931,269.266653840806,283.251336119907,2.29895657767901,65.447281498163,1.28705974960538,1.16874630714872,120.089871529412,107.668357820451,132.241770650137,0.404808298133204
